venue, capacity, area
M Chinnaswamy Stadium, 40000, 66773.13
Eden Gardens, 68000, 607028
Wankhede Stadium
Rajiv Gandhi International Stadium
MA Chidambaram Stadium
Feroz Shah Kotla
Punjab Cricket Association IS Bindra Stadium
Sawai Mansingh Stadium
Dubai International Cricket Stadium
Sheikh Zayed Stadium
Maharashtra Cricket Association Stadium
Sharjah Cricket Stadium
Subrata Roy Sahara Stadium
Dr DY Patil Sports Academy
Kingsmead
Arun Jaitley Stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
SuperSport Park
Sardar Patel Stadium
Brabourne Stadium
Saurashtra Cricket Association Stadium
Holkar Cricket Stadium
Himachal Pradesh Cricket Association Stadium
New Wanderers Stadium
St George's Park
JSCA International Stadium Complex
Barabati Stadium
Newlands
Shaheed Veer Narayan Singh International Stadium
Nehru Stadium
Green Park
Vidarbha Cricket Association Stadium
De Beers Diamond Oval
Buffalo Park
OUTsurance
